,target
GSM259087,0.0
GSM259088,1.0
GSM259089,1.0
GSM259090,1.0
GSM259091,1.0
GSM259096,1.0
GSM259100,1.0
GSM259101,0.0
GSM1226121,1.0
GSM1254265,0.0
GSM1254266,0.0
GSM1254267,1.0
GSM1254268,1.0
GSM1254269,1.0
GSM1254270,1.0
GSM1254271,0.0
GSM1254272,0.0
GSM1254273,0.0
GSM1254274,1.0
GSM1254275,1.0
GSM1254276,1.0
GSM1254277,0.0
GSM1254278,0.0
GSM1254279,0.0
GSM1254280,0.0
GSM1254281,1.0
GSM1254282,0.0
GSM1254283,0.0
GSM1254284,1.0
GSM1254285,0.0
GSM1254286,0.0
GSM1254287,0.0
GSM1254288,0.0
GSM262030,0.0
GSM262031,0.0
GSM262032,1.0
GSM262033,0.0
GSM262034,1.0
GSM262035,0.0
GSM262036,1.0
GSM262037,1.0
GSM262038,1.0
GSM262039,0.0
GSM262040,1.0
GSM262041,0.0
GSM262042,0.0
GSM262043,0.0
GSM262044,0.0
GSM262045,1.0
GSM262046,1.0
GSM262047,0.0
GSM262048,1.0
GSM262049,0.0
GSM262050,0.0
GSM262051,1.0
GSM262052,1.0
GSM262053,1.0
GSM262054,0.0
GSM262055,0.0
GSM262056,1.0
GSM262057,0.0
GSM262058,1.0
GSM262059,0.0
GSM262060,0.0
GSM262061,1.0
GSM262062,1.0
GSM262063,1.0
GSM262064,1.0
GSM262065,0.0
GSM262066,0.0
GSM262067,0.0
GSM262068,0.0
GSM262069,0.0
GSM262070,0.0
GSM262071,1.0
GSM262072,0.0
GSM262073,0.0
GSM262074,0.0
GSM262075,0.0
GSM262076,1.0
GSM262077,0.0
GSM262078,1.0
GSM262079,0.0
GSM262080,0.0
GSM262090,0.0
GSM262091,0.0
GSM262092,1.0
GSM262093,0.0
GSM262094,0.0
GSM262095,1.0
GSM262096,1.0
GSM262097,1.0
GSM262098,0.0
GSM262099,0.0
GSM262100,0.0
GSM262101,1.0
GSM262102,0.0
GSM262103,1.0
GSM262104,1.0
GSM262105,0.0
GSM262106,0.0
GSM262107,1.0
GSM262108,0.0
GSM262109,0.0
GSM262110,0.0
GSM262111,0.0
GSM262112,0.0
GSM262113,0.0
GSM262114,1.0
GSM262115,0.0
GSM262116,1.0
GSM262117,1.0
GSM262118,0.0
GSM262119,1.0
GSM262120,0.0
GSM262121,0.0
GSM262122,1.0
GSM262123,0.0
GSM262124,1.0
GSM262125,1.0
GSM262126,1.0
GSM262127,1.0
GSM262128,1.0
GSM262129,1.0
GSM262130,0.0
GSM262131,0.0
GSM262132,1.0
GSM262133,0.0
GSM262134,0.0
GSM262135,0.0
GSM262136,1.0
GSM262137,0.0
GSM262138,1.0
GSM262139,1.0
GSM262140,1.0
GSM262141,0.0
GSM262142,1.0
GSM262143,1.0
GSM262144,1.0
GSM262145,1.0
GSM262146,1.0
GSM262147,1.0
GSM262148,1.0
GSM262149,1.0
GSM262150,1.0
GSM262151,1.0
GSM262152,0.0
GSM262153,0.0
GSM262154,0.0
GSM262155,0.0
GSM262156,1.0
GSM262157,0.0
GSM262158,1.0
GSM262159,0.0
GSM262160,1.0
GSM262161,0.0
GSM262162,0.0
GSM262163,0.0
GSM262164,1.0
GSM262165,1.0
GSM262166,0.0
GSM262167,0.0
GSM262168,0.0
GSM262169,0.0
GSM262170,0.0
GSM262171,1.0
GSM262172,0.0
GSM262173,0.0
GSM262174,0.0
GSM262175,0.0
GSM262176,1.0
GSM262177,0.0
GSM262178,0.0
GSM262179,0.0
GSM262180,0.0
GSM262181,0.0
GSM262182,1.0
GSM262183,0.0
GSM262184,1.0
GSM262185,0.0
GSM262186,0.0
GSM262187,0.0
GSM262188,1.0
GSM262189,0.0
GSM262190,0.0
GSM262191,1.0
GSM262192,1.0
GSM262193,0.0
GSM262194,0.0
GSM262195,1.0
GSM262196,1.0
GSM262197,1.0
GSM262198,1.0
GSM262199,0.0
GSM262200,0.0
GSM262201,0.0
GSM262202,1.0
GSM262203,0.0
GSM262204,0.0
GSM262205,0.0
GSM262206,1.0
GSM262207,0.0
GSM262208,0.0
GSM262209,1.0
GSM262210,0.0
GSM262211,0.0
GSM262212,0.0
GSM262213,1.0
GSM262214,0.0
GSM262215,0.0
GSM262216,0.0
GSM262217,0.0
GSM262218,0.0
GSM262219,0.0
GSM262220,0.0
GSM262221,0.0
GSM262222,1.0
GSM726172,0.0
GSM726173,0.0
GSM726174,0.0
GSM726175,0.0
GSM726176,0.0
GSM726177,1.0
GSM726178,0.0
GSM726179,1.0
GSM726180,1.0
GSM726181,1.0
GSM726182,1.0
GSM726183,1.0
GSM726184,1.0
